_ID,TimeSt,Country,Province,City,Latitude,Longitude
5373332,2017-06-21 00:00:23.653,CA,ON,Burlington,43.38890,-79.76820
4750350,2017-06-21 00:15:18.183,CA,ON,Barrie,44.40150,-79.67820
5185275,2017-06-21 00:46:37.513,CA,NB,Moncton,46.11830,-64.73380
5390977,2017-06-21 01:02:06.820,CA,ON,Toronto,43.64770,-79.41740
4708400,2017-06-21 01:12:14.560,CA,AB,Red Deer,52.26510,-113.79400
4822992,2017-06-21 01:20:57.107,CA,AB,Edmonton,53.45790,-113.41200
4898729,2017-06-21 01:27:18.623,CA,SK,Davidson,51.26670,-105.96670
5514976,2017-06-21 02:14:46.340,CA,AB,Calgary,50.88370,-114.03260
5332200,2017-06-21 02:57:11.947,CA,ON,Thornhill,43.83950,-79.38310
5388509,2017-06-21 03:01:39.940,CA,AB,Edmonton,53.41040,-113.51700
4637946,2017-06-21 03:06:44.650,CA,ON,Ottawa,45.40190,-75.75130
5101153,2017-06-21 03:41:12.467,CA,ON,Toronto,43.66660,-79.38230
5211080,2017-06-21 03:48:36.440,CA,AB,Edmonton,53.57745,-113.54698
4588389,2017-06-21 04:03:00.353,CA,QC,Saint-Laurent,45.50387,-73.68473
4587879,2017-06-21 04:03:00.680,CA,QC,Gatineau,45.50670,-75.62920
5515819,2017-06-21 04:14:47.190,CA,NB,Moncton,46.11830,-64.73380
4977364,2017-06-21 04:32:45.007,CA,AB,Calgary,51.11881,-113.94710
4620552,2017-06-21 05:05:41.590,CA,ON,Toronto,43.72640,-79.39780
5608685,2017-06-21 05:22:24.313,CA,SK,Saskatoon,52.11600,-106.66900
5135327,2017-06-21 05:43:23.497,CA,NS,Sydney,46.11490,-60.20269
5191839,2017-06-21 05:47:11.763,CA,ON,Niagara Falls,43.08839,-79.14230
5289633,2017-06-21 05:54:34.020,CA,AB,Calgary,50.91500,-114.06000
5448168,2017-06-21 06:08:16.540,CA,ON,Thunder Bay,48.37370,-89.28831
5203078,2017-06-21 06:48:08.383,CA,ON,London,43.00040,-81.23430
5285042,2017-06-21 06:54:22.497,CA,AB,Edmonton,53.54318,-113.47790
4562476,2017-06-21 07:01:48.230,CA,ON,Thunder Bay,48.45270,-89.21620
5432042,2017-06-21 07:06:22.923,CA,ON,Toronto,43.67350,-79.40300
4839586,2017-06-21 07:22:15.060,CA,AB,Calgary,51.00810,-114.07300
4929328,2017-06-21 07:30:07.480,CA,AB,Canmore,51.08565,-115.35705
5130807,2017-06-21 07:43:03.683,CA,SK,Prince Albert,53.20540,-105.75400
5342520,2017-06-21 07:58:18.287,CA,ON,Burlington,43.38890,-79.76820
5436516,2017-06-21 08:06:55.680,CA,ON,Windsor,42.29080,-82.98700
5036876,2017-06-21 08:36:28.213,CA,AB,Edmonton,53.53140,-113.58200
5090812,2017-06-21 08:40:20.313,CA,ON,Kitchener,43.45530,-80.48450
5175554,2017-06-21 08:45:58.777,CA,ON,Mississauga,43.56340,-79.65090
5390063,2017-06-21 09:01:57.740,CA,AB,Calgary,51.04860,-113.96800
5392997,2017-06-21 09:02:15.760,CA,AB,Calgary,51.15810,-113.93800
4774469,2017-06-21 09:16:55.710,CA,AB,Edmonton,53.53871,-113.51924
4800112,2017-06-21 09:18:54.100,CA,AB,Edmonton,53.44693,-113.43865
4910123,2017-06-21 09:28:21.137,CA,ON,Fort Erie,42.90265,-78.93470
4950542,2017-06-21 09:31:11.797,CA,AB,Calgary,51.04190,-114.20000
5028519,2017-06-21 09:35:52.257,CA,AB,Edmonton,53.53140,-113.58200
5204509,2017-06-21 09:48:15.787,CA,ON,Kitchener,43.43970,-80.43400
4601055,2017-06-21 10:04:10.687,CA,ON,Newmarket,44.03900,-79.47240
4725152,2017-06-21 10:13:41.627,CA,AB,Calgary,51.01968,-114.20034
5547590,2017-06-21 10:17:34.920,CA,SK,Moose Jaw,50.39000,-105.53200
5555781,2017-06-21 10:18:05.577,CA,AB,Fort Mcmurray,56.73770,-111.43800
5601741,2017-06-21 10:21:37.600,CA,ON,Sudbury,46.50800,-80.98700
4884017,2017-06-21 10:26:03.410,CA,AB,Calgary,51.02420,-114.10040
4892272,2017-06-21 10:26:47.970,CA,AB,Edmonton,53.53796,-113.58373
